n,gamma,beta_partial,energy_mean_partial,Jminus1_over_gamma
340,598.4930773461648,0.028728776206194555,0.021991915648329072,0.09354214251153235
341,599.5456403643649,0.028728954872389287,0.0219920480981634,0.09343147912449226
342,601.6021367359326,0.028729391941874162,0.02199237206919817,0.09324356717903151
343,602.5791678863874,0.028730621329160665,0.021993282532634006,0.09346278246111188
344,603.6256189035792,0.028731828261251334,0.02199417516107035,0.09366502232254101
345,604.6162184937532,0.028732260260832684,0.02199449419737655,0.09364215917705375
346,606.383460422109,0.028732340305506785,0.021994553176097678,0.09339351768136972
347,608.4132173111873,0.02873256505413881,0.021994718617872614,0.0931503130955918
348,609.3895751547201,0.028732998545807638,0.021995037844189744,0.09313315134241881
349,610.8391629377394,0.028733598557195397,0.021995480343264682,0.0930953915926207
350,611.7742096208872,0.028734072538647504,0.021995830350303995,0.09309808783604054
351,613.5997786756371,0.028734472351852346,0.021996126337255076,0.09294376710700505
352,614.6462378722326,0.02873513405169159,0.02199661670632649,0.09298888251084479
353,615.538563369407,0.02873537662122917,0.02199679654903738,0.09292873516538241
354,618.1128313664424,0.02873554742350618,0.02199692302947897,0.09259450040824586
355,619.1844825979537,0.028736132844219366,0.021997355948450252,0.09261548465125016
356,620.2728936722275,0.02873680427750456,0.0219978517001197,0.09266120560734037
357,621.7092945279486,0.028737964533270672,0.021998706807795865,0.09280779173639245
358,622.375002739779,0.02873870071819133,0.02199924904907031,0.09293761384389938
359,624.2699000181779,0.028738788580983967,0.021999313737476177,0.09268293780020238
360,626.0192834276544,0.028738943378226446,0.02199942785963097,0.09247239245899729
361,627.268396850783,0.028739287639986105,0.02199968207875758,0.0923962195212081
362,628.3258623594604,0.02873955807131619,0.021999882076266505,0.09232567725415038
363,630.4738874382921,0.028743052445399476,0.022002472022666336,0.09311268009106759
364,630.8057809271976,0.028747219945582294,0.02200556135007208,0.09437813201795524
365,632.2251411671159,0.028747559371792793,0.022005812953122896,0.09427354786157359
366,633.5468582522518,0.028747669594048567,0.022005894574389385,0.09411178815920464
367,635.5238003106055,0.028747741917095573,0.022005947993118072,0.09384201345172881
368,637.3971931598373,0.028749307166138258,0.02200710143108203,0.09406504260835265
369,637.9255139808225,0.028752114022833068,0.02200916891037992,0.09488242258023245
370,638.9279382668568,0.0287527431495643,0.022009632110152975,0.09493454347196281
371,640.6947946688257,0.028752951325197524,0.02200978547072627,0.09473942921190791
372,641.9454996657053,0.028753158840520425,0.02200993854481359,0.09462145480546202
373,643.2788837813979,0.028753283314436235,0.022010030529064206,0.09446535983946942
374,644.990578229748,0.028753409482528018,0.02201012396350832,0.0942553536047577
375,646.3481915955016,0.028753634444157655,0.022010290714666158,0.09413007802975172
376,647.7617530042888,0.028754145549188707,0.022010669539704816,0.09409020233443247
377,648.7864008887824,0.0287548134155771,0.022011164202112975,0.09415825429064827
378,650.1975193452564,0.02875622823163782,0.022012210383527738,0.09441385860576124
379,650.668683891396,0.028757034904415644,0.02201280649404163,0.09460792981541603
380,653.6495716053947,0.028757349049079887,0.02201303787058908,0.09427915242071681
381,654.3019205863194,0.028757945021109083,0.022013476706115725,0.09438012760524206
382,655.7094630223556,0.028758308629442824,0.02201374450517977,0.09429674250865956
383,656.9640845994606,0.02875870410490215,0.022014036078115053,0.09424656820321631
384,658.1756144186054,0.02875900175311868,0.022014255855335653,0.09417103728243097
385,659.663845972964,0.028759275017969883,0.022014458027140468,0.09404871467450504
386,660.7167325952793,0.028759469055229525,0.022014601745014302,0.09396294500435635
387,662.2965864311004,0.028759541256348296,0.022014655264525732,0.09376271344635655
388,664.244604652273,0.02875974351395743,0.022014805065141092,0.0935549115216298
389,665.342763095599,0.028760386903654876,0.022015281020386558,0.09361453516451874
390,666.5151477041729,0.028762028148399947,0.022016493280820438,0.09399682692892998
391,667.1484948945555,0.028762995510719005,0.022017207202252895,0.09423027982192024
392,668.9758488202351,0.028763109223967968,0.02201729096985868,0.09401091900742588
393,670.3235852058626,0.028763186091832253,0.022017347572469977,0.09384766611326725
394,672.4581835841698,0.02876373313174285,0.022017750907990005,0.09373369429579563
395,673.0435782861476,0.028764579306127254,0.02201837521450896,0.09393692359414657
396,674.3558978101232,0.028764811789215413,0.022018547033095002,0.09383250735828134
397,676.1396743636268,0.02876518375216174,0.022018822501907426,0.09371071005927943
398,677.230180668764,0.02876658475700577,0.022019860789474297,0.0940342145260329
399,677.8004447462214,0.028767368634134587,0.022020441799457297,0.09422075557900499
400,679.7421978825282,0.028767416806309697,0.022020477475759366,0.0939679766894166
401,681.8949915331519,0.028767759176031603,0.022020730397777598,0.09378804289869325
402,682.6027350197505,0.028768416181726108,0.022021215310616408,0.09391503763676719
403,684.0135498138695,0.028769040317138533,0.022021675268519215,0.09393479146602998
404,684.9726298620984,0.028769619383776115,0.022022101761627975,0.09400158903009095
405,686.163223587728,0.028769801292711474,0.022022235729629972,0.09390089214443062
406,687.9615431847036,0.0287698929860459,0.02202230333921601,0.09368697759404744
407,689.3689413622724,0.02877005154713819,0.02202242045077712,0.09355036220743182
408,690.4747350323504,0.028770189028089616,0.022022522136028944,0.09344800510822757
409,692.4516844155208,0.028770650541272636,0.02202286409920902,0.09334099895116597
410,693.1769700606018,0.02877138752760524,0.022023410306921433,0.09349876540989631
411,694.5339086998731,0.028771811762402566,0.022023724634196492,0.09346341593963227
412,695.7263359209268,0.028772233568792806,0.022024036863422945,0.0934499570381722
413,696.6260699003457,0.028772388742755433,0.02202415160817669,0.09338331000534296
414,699.1320954760135,0.028772486609147226,0.02202422375913929,0.09308279010850196
415,700.2967391321434,0.028772933312805914,0.02202455281064413,0.09308439939631491
416,701.3017429546461,0.028773709865245085,0.022025124717924383,0.09322330327977219
417,702.2273431457605,0.028774104155483045,0.02202541517863798,0.09323886715971863
418,704.0338392955254,0.028774319667608045,0.022025574192350517,0.09307548742104442
419,705.1258139546193,0.0287746167710619,0.02202579370389438,0.0930360962105689
420,706.184654799518,0.028774746118979996,0.02202588939512886,0.09294227130537805
421,708.26907088511,0.02877486686293267,0.022025978868029445,0.0927115044227591
422,709.2295885702842,0.028775033353857313,0.022026102251900492,0.0926449843539069
